thing_id,stationID,stationName,city,township,areaType,areaDescription,isOutdoor,isMobile,projectName,latitude,longitude,coordinate_crs,pm25_datastream_id,latest_pm25_value,latest_observation_phenomenon_time,freshness_status,observation_age_minutes,valid_coordinate,valid_pm25,future_timestamp,bbox_status
3216,13579979361,智慧城鄉空品微型感測器-13579979361,新北市,新莊區,交通區,景區周邊,,,,25.034214,121.45295,EPSG:4326,9646,5.89,2026-09-02T10:56:36Z,fresh,6.08,True,True,False,inside_bbox
3222,13580563769,智慧城鄉空品微型感測器-13580563769,新北市,新莊區,一般社區,工地：衛生福利部台北醫院新莊區思源段醫院用地新建工程,,,,25.04304,121.458115,EPSG:4326,9664,6.01,2026-09-02T10:57:08Z,fresh,5.55,True,True,False,inside_bbox
3236,13581910515,智慧城鄉空品微型感測器-13581910515,新北市,永和區,交通區,景區周邊,,,,25.000591,121.51443,EPSG:4326,9706,7.25,2026-09-02T10:57:01Z,fresh,5.66,True,True,False,inside_bbox
3244,13582768181,智慧城鄉空品微型感測器-13582768181,新北市,三重區,交通區,景區周邊,,,,25.065058,121.49715,EPSG:4326,9730,7.22,2026-09-02T10:55:59Z,fresh,6.7,True,True,False,inside_bbox
3245,13582829871,智慧城鄉空品微型感測器-13582829871,新北市,三重區,特殊區(敏感族群聚集區),三重區社區,,,,25.053663,121.48883,EPSG:4326,9733,6.85,2026-09-02T10:56:20Z,fresh,6.35,True,True,False,inside_bbox
3252,13583545251,智慧城鄉空品微型感測器-13583545251,新北市,樹林區,工業區,樹林工業區,,,,25.001745,121.42096,EPSG:4326,9754,5.78,2026-09-02T10:57:40Z,fresh,5.01,True,True,False,inside_bbox
3259,13584259965,智慧城鄉空品微型感測器-13584259965,新北市,泰山區,一般社區,泰山區社區,,,,25.057644,121.43559,EPSG:4326,9775,5.97,2026-09-02T10:56:37Z,fresh,6.06,True,True,False,inside_bbox
3260,13584395107,智慧城鄉空品微型感測器-13584395107,新北市,,,,,,,25.028332,121.433174,EPSG:4326,9778,5.81,2026-09-02T10:58:36Z,fresh,4.08,True,True,False,inside_bbox
3261,650000000001,智慧城鄉空品微型感測器-650000000001,新北市,三重區,,,,,,25.085066,121.49019,EPSG:4326,9781,5.9,2026-09-02T10:58:36Z,fresh,4.08,True,True,False,inside_bbox
3262,650000000002,智慧城鄉空品微型感測器-650000000002,新北市,三重區,,,,,,25.082985,121.49605,EPSG:4326,9784,5.91,2026-09-02T10:58:12Z,fresh,4.48,True,True,False,inside_bbox
3263,650000000003,智慧城鄉空品微型感測器-650000000003,新北市,三重區,,,,,,25.080072,121.4916,EPSG:4326,9787,5.89,2026-09-02T10:56:55Z,fresh,5.76,True,True,False,inside_bbox
3264,650000000004,智慧城鄉空品微型感測器-650000000004,新北市,三重區,,,,,,25.081324,121.4848,EPSG:4326,9790,5.77,2026-09-02T10:56:53Z,fresh,5.8,True,True,False,inside_bbox
